dte,T,n_violations,min_g,worst_k
14.0,0.038356164383561646,0,0.6026936641721657,0.5
21.0,0.057534246575342465,0,0.8626682003096867,0.5
35.0,0.0958904109589041,0,0.020377291080842547,0.24750000000000005
49.0,0.13424657534246576,0,0.7715460492221177,-0.5
70.0,0.1917808219178082,0,0.8625399970482561,-0.5
91.0,0.2493150684931507,0,0.8884553847018114,-0.5
133.0,0.3643835616438356,0,0.7304638399671507,0.5
182.0,0.4986301369863014,0,0.8697096075666351,-0.5
273.0,0.7479452054794521,0,0.8766214359493676,-0.5
350.0,0.958904109589041,0,0.6397037101376074,-0.5
