dte,T,forward,parity_rmse_bp,n_quotes
14.0,0.038356164383561646,5002.8761411272035,0.00397468819189236,7
21.0,0.057534246575342465,5004.316040796691,0.004946101464723638,9
35.0,0.0958904109589041,5007.197062200859,0.003685854206192393,12
49.0,0.13424657534246576,5010.077961795765,0.004381824583898166,14
70.0,0.1917808219178082,5014.403189453377,0.004604381073674606,16
91.0,0.2493150684931507,5018.733380570937,0.004704905220171852,17
133.0,0.3643835616438356,5027.403097934406,0.004776459072230854,15
182.0,0.4986301369863014,5037.537600198703,0.0049334835072537015,16
273.0,0.7479452054794521,5056.410796088766,0.005329336604175722,15
350.0,0.958904109589041,5072.436822536333,0.004799023067762248,17
