dte,T,forward,a,b,rho,m,sigma,rmse_vol_points,w_rmse,n_quotes,n_starts_tried,best_start_index,butterfly_min_g
14.0,0.038356164383561646,5002.8761411272035,0.0005754489272587313,0.000447491555886051,0.5467701929348527,0.38675995490293835,0.08811232506945199,0.05971210090506449,5.997975164288462e-06,7,8,6,0.6026936641721657
21.0,0.057534246575342465,5004.316040796691,0.0009844530456990387,0.00027075354097428575,0.18960845058246417,0.05494267378785603,0.03502662176937258,0.07369459258598106,1.1239775101196795e-05,9,8,5,0.8626682003096867
35.0,0.0958904109589041,5007.197062200859,0.0015023346901993986,0.011315096213071701,0.9325824836921955,0.17462559632657698,0.03664055615410367,0.0900282307952185,2.3016383028923203e-05,12,8,5,0.020377291080842547
49.0,0.13424657534246576,5010.077961795765,0.0021992703681438614,0.000838801049817706,-0.8895310107862866,0.04631517501424383,0.24415182966274618,0.11971990530750694,4.3639912522858424e-05,14,8,7,0.7715460492221177
70.0,0.1917808219178082,5014.403189453377,0.0029939523972258696,0.0025027464804946377,0.5235205962705534,0.4994165485575557,0.0008816871086449285,0.1251346037514072,6.544396569762728e-05,16,8,1,0.8625399970482561
91.0,0.2493150684931507,5018.733380570937,0.004429553883535117,0.0010059276973787092,-0.23863876988790314,0.23342457165111846,0.13422145570736416,0.07535737866818601,5.1770180590138635e-05,17,8,0,0.8884553847018114
133.0,0.3643835616438356,5027.403097934406,0.00619915168581586,0.0029597630298622327,0.29434108599127384,0.4990093314282428,0.0001000007344307167,0.08587167402708949,8.735405372396044e-05,15,8,6,0.7304638399671507
182.0,0.4986301369863014,5037.537600198703,0.009278766454342504,0.0027030755904179377,-0.17392724078394875,0.2725347344309145,0.07400491929590972,0.08449798504925773,0.0001198705975573053,16,8,0,0.8697096075666351
273.0,0.7479452054794521,5056.410796088766,0.013615732384828919,0.0035774885384537657,-0.2974455443158769,0.499807344014894,0.0001326452301801543,0.11058538371126438,0.00024152141478922222,15,8,3,0.8766214359493676
350.0,0.958904109589041,5072.436822536333,0.016657269575216873,0.023076018934967073,-0.9989999993837312,-0.49999999723007044,0.44931057212941006,0.08381445844200852,0.00023685470244140132,17,8,3,0.6397037101376074
