expiry,strike,option_type,bid,ask,open_interest,volume
14,3750.0,c,1234.65,1268.23,13264.0,2200.0
14,3875.0,c,1112.48,1140.69,2175.0,3489.0
14,4000.0,c,990.02,1013.47,10766.0,4878.0
14,4000.0,p,0.02,0.02,14847.0,3808.0
14,4125.0,c,867.38,886.62,10507.0,649.0
14,4125.0,p,0.13,0.13,16875.0,2257.0
14,4250.0,c,744.83,760.34,4059.0,4634.0
14,4250.0,p,0.57,0.58,15740.0,3222.0
14,4380.0,c,618.26,630.37,11135.0,2222.0
14,4380.0,p,2.13,2.18,9283.0,1143.0
14,4505.0,c,499.03,508.28,17813.0,328.0
14,4505.0,p,6.29,6.41,17236.0,4139.0
14,4630.0,c,385.26,392.07,3721.0,3792.0
14,4630.0,p,16.08,16.36,14160.0,1779.0
14,4755.0,c,281.73,286.5,9190.0,4466.0
14,4755.0,p,36.22,36.83,13719.0,3894.0
14,4880.0,c,192.08,195.23,7596.0,2338.0
14,4880.0,p,70.34,71.49,10206.0,228.0
14,5005.0,c,121.59,123.55,14995.0,3418.0
14,5005.0,p,123.7,125.69,18489.0,3726.0
14,5130.0,c,70.14,71.29,8511.0,1635.0
14,5130.0,p,196.08,199.3,18157.0,1858.0
14,5255.0,c,37.16,37.79,16015.0,955.0
14,5255.0,p,286.88,291.73,9527.0,658.0
14,5380.0,c,17.42,17.73,6938.0,1142.0
14,5380.0,p,390.84,397.69,11507.0,3352.0
14,5505.0,c,7.61,7.75,3633.0,4165.0
14,5505.0,p,504.63,513.83,12780.0,3504.0
14,5630.0,c,2.92,2.98,15472.0,4162.0
14,5630.0,p,623.42,635.28,8986.0,4025.0
14,5755.0,c,1.0,1.02,18012.0,1448.0
14,5755.0,p,744.87,759.66,5171.0,3415.0
14,5880.0,c,0.31,0.32,16738.0,1007.0
14,5880.0,p,867.42,885.43,16195.0,46.0
14,6005.0,c,0.09,0.09,15717.0,3327.0
14,6005.0,p,990.31,1011.8,9695.0,3528.0
14,6130.0,c,0.02,0.02,11335.0,2299.0
14,6130.0,p,1113.23,1138.46,10359.0,2848.0
14,6255.0,p,1236.06,1265.31,5286.0,581.0
14,5002.87754003488,c,0.0,5.0,0.0,0.0
21,3755.0,c,1230.48,1263.88,13261.0,2360.0
21,3755.0,p,0.02,0.02,17174.0,2830.0
21,3880.0,c,1108.43,1136.48,11704.0,3177.0
21,3880.0,p,0.08,0.08,11524.0,2772.0
21,4005.0,c,986.24,1009.55,16000.0,1526.0
21,4005.0,p,0.29,0.3,12255.0,163.0
21,4130.0,c,864.17,883.29,19663.0,1080.0
21,4130.0,p,0.91,0.93,5892.0,2048.0
21,4255.0,c,742.87,758.32,1176.0,1177.0
21,4255.0,p,2.54,2.6,16522.0,300.0
21,4380.0,c,623.81,636.03,18394.0,1475.0
21,4380.0,p,6.61,6.74,8969.0,3312.0
21,4505.0,c,508.57,518.01,10347.0,3921.0
21,4505.0,p,14.7,14.97,19924.0,3324.0
21,4630.0,c,400.37,407.44,8650.0,4071.0
21,4630.0,p,29.97,30.5,6763.0,843.0
21,4755.0,c,302.34,307.46,2569.0,459.0
21,4755.0,p,55.54,56.49,15545.0,3614.0
21,4880.0,c,218.07,221.65,14482.0,814.0
21,4880.0,p,94.98,96.54,18062.0,2510.0
21,5005.0,c,149.0,151.4,10197.0,3484.0
21,5005.0,p,149.67,152.09,10164.0,2236.0
21,5130.0,c,95.79,97.37,5155.0,1514.0
21,5130.0,p,220.24,223.85,13832.0,3155.0
21,5255.0,c,57.36,58.32,19214.0,447.0
21,5255.0,p,305.51,310.67,7180.0,598.0
21,5380.0,c,32.59,33.16,7642.0,4543.0
21,5380.0,p,404.37,411.45,10153.0,3501.0
21,5505.0,c,17.35,17.66,15402.0,4846.0
21,5505.0,p,512.65,522.0,5638.0,3895.0
21,5630.0,c,8.72,8.88,15885.0,2252.0
21,5630.0,p,627.44,639.37,14869.0,1368.0
21,5755.0,c,3.89,3.97,9216.0,4513.0
21,5755.0,p,745.92,760.72,2987.0,2284.0
21,5880.0,c,1.63,1.66,14571.0,1536.0
21,5880.0,p,866.83,884.81,16268.0,2900.0
21,6005.0,c,0.67,0.68,9532.0,4284.0
21,6005.0,p,988.91,1010.35,880.0,3795.0
21,6130.0,c,0.25,0.25,13434.0,2166.0
21,6130.0,p,1111.41,1136.58,6519.0,3140.0
21,6255.0,c,0.09,0.1,2346.0,3252.0
21,6255.0,p,1234.03,1263.21,12760.0,431.0
21,5004.316931010515,c,0.0,5.0,0.0,0.0
35,3755.0,c,1232.25,1265.73,15844.0,217.0
35,3755.0,p,0.38,0.39,3999.0,2475.0
35,3880.0,c,1110.9,1139.04,13381.0,731.0
35,3880.0,p,1.0,1.03,13715.0,525.0
35,4005.0,c,989.89,1013.32,15972.0,861.0
35,4005.0,p,2.26,2.31,6349.0,4626.0
35,4130.0,c,870.12,889.4,9217.0,1740.0
35,4130.0,p,5.03,5.14,12442.0,2958.0
35,4255.0,c,752.53,768.19,3454.0,4793.0
35,4255.0,p,10.22,10.43,8654.0,2416.0
35,4380.0,c,638.73,651.26,1766.0,422.0
35,4380.0,p,19.4,19.79,5879.0,2438.0
35,4505.0,c,531.25,541.11,9102.0,4689.0
35,4505.0,p,35.1,35.75,3639.0,2862.0
35,4630.0,c,428.63,436.21,16248.0,1342.0
35,4630.0,p,55.81,56.8,19098.0,1664.0
35,4755.0,c,338.24,343.97,17070.0,2200.0
35,4755.0,p,88.88,90.39,6048.0,117.0
35,4880.0,c,259.34,263.59,693.0,4481.0
35,4880.0,p,133.54,135.73,11085.0,709.0
35,5005.0,c,190.75,193.83,6655.0,551.0
35,5005.0,p,188.58,191.62,13486.0,3364.0
35,5130.0,c,136.67,138.91,14740.0,3637.0
35,5130.0,p,258.13,262.36,18805.0,3845.0
35,5260.0,c,93.2,94.78,12485.0,4580.0
35,5260.0,p,343.17,348.97,19515.0,1158.0
