expiry,strike,option_type,bid,ask,open_interest,volume
14,3750.0,c,1242.56,1260.32,13264.0,2200.0
14,3875.0,c,1119.16,1134.0,2175.0,3489.0
14,4000.0,c,995.6,1007.85,10766.0,4878.0
14,4125.0,c,871.87,881.86,14490.0,3932.0
14,4250.0,c,748.01,756.01,16875.0,2257.0
14,4380.0,c,619.07,625.25,4059.0,4634.0
14,4505.0,c,494.98,499.63,8347.0,4115.0
14,4630.0,c,370.85,374.15,9283.0,1143.0
14,4630.0,p,0.05,0.05,2296.0,2777.0
14,4755.0,c,247.68,249.79,17236.0,4139.0
14,4755.0,p,1.14,1.15,5896.0,3162.0
14,4880.0,c,133.55,134.65,14160.0,1779.0
14,4880.0,p,11.32,11.41,1824.0,4853.0
14,5005.0,c,50.03,50.43,13719.0,3894.0
14,5005.0,p,52.14,52.56,15318.0,981.0
14,5130.0,c,11.37,11.47,10206.0,228.0
14,5130.0,p,137.83,138.96,11158.0,779.0
14,5255.0,c,1.39,1.4,18489.0,3726.0
14,5255.0,p,252.16,254.3,7649.0,4837.0
14,5380.0,c,0.08,0.08,18157.0,1858.0
14,5380.0,p,375.12,378.43,1988.0,2353.0
14,5505.0,p,499.25,503.85,9527.0,658.0
14,5630.0,p,623.39,629.42,6938.0,1142.0
14,5755.0,p,747.46,755.05,18835.0,2191.0
14,5880.0,p,871.47,880.76,15472.0,4162.0
14,6005.0,p,995.4,1006.54,16912.0,1943.0
14,6130.0,p,1119.26,1132.39,5171.0,3415.0
14,6255.0,p,1243.04,1258.33,16738.0,1007.0
14,5002.87754003488,c,0.0,5.0,0.0,0.0
21,3755.0,c,1238.33,1255.99,16038.0,3936.0
21,3880.0,c,1115.01,1129.75,9695.0,3528.0
21,4005.0,c,991.51,1003.68,11335.0,2299.0
21,4130.0,c,867.85,877.77,1226.0,707.0
21,4255.0,c,744.06,751.99,9072.0,3345.0
21,4380.0,c,620.14,626.34,17174.0,2830.0
21,4505.0,c,496.14,500.81,11704.0,3177.0
21,4505.0,p,0.02,0.02,11524.0,2772.0
21,4630.0,c,372.42,375.73,16000.0,1526.0
21,4630.0,p,0.4,0.41,12255.0,163.0
21,4755.0,c,251.37,253.51,19663.0,1080.0
21,4755.0,p,3.54,3.57,5892.0,2048.0
21,4880.0,c,142.26,143.43,1176.0,1177.0
21,4880.0,p,18.67,18.82,16522.0,300.0
21,5005.0,c,62.84,63.35,18394.0,1475.0
21,5005.0,p,63.52,64.03,8969.0,3312.0
21,5130.0,c,19.5,19.66,10347.0,3921.0
21,5130.0,p,144.46,145.64,19924.0,3324.0
21,5255.0,c,4.13,4.17,8650.0,4071.0
21,5255.0,p,253.33,255.48,6763.0,843.0
21,5380.0,c,0.57,0.58,2569.0,459.0
21,5380.0,p,373.96,377.26,15545.0,3614.0
21,5505.0,c,0.06,0.06,14482.0,814.0
21,5505.0,p,497.58,502.17,18062.0,2510.0
21,5630.0,p,621.6,627.61,10197.0,3484.0
21,5755.0,p,745.61,753.17,3741.0,1911.0
21,5880.0,p,869.54,878.8,13832.0,3155.0
21,6005.0,p,993.41,1004.51,19214.0,447.0
21,6130.0,p,1117.19,1130.29,7109.0,4809.0
21,6255.0,p,1240.9,1256.15,10153.0,3501.0
21,5004.316931010515,c,0.0,5.0,0.0,0.0
35,3755.0,c,1239.75,1257.45,15402.0,4846.0
35,3880.0,c,1116.57,1131.35,5592.0,3587.0
35,4005.0,c,993.21,1005.42,14869.0,1368.0
35,4130.0,c,869.7,879.65,9216.0,4513.0
35,4255.0,c,746.05,754.02,14228.0,1019.0
35,4380.0,c,622.32,628.55,16268.0,2900.0
35,4380.0,p,0.04,0.04,11164.0,892.0
35,4505.0,c,498.75,503.44,880.0,3795.0
35,4505.0,p,0.34,0.34,10108.0,3600.0
35,4630.0,c,376.83,380.19,6519.0,3140.0
35,4630.0,p,2.39,2.41,3234.0,2924.0
35,4755.0,c,260.74,262.96,12760.0,431.0
35,4755.0,p,10.33,10.42,15271.0,2084.0
35,4880.0,c,159.67,160.98,3999.0,2475.0
35,4880.0,p,33.35,33.63,4170.0,1656.0
35,5005.0,c,83.33,84.0,13715.0,525.0
35,5005.0,p,81.15,81.8,3916.0,2942.0
35,5130.0,c,35.35,35.64,6349.0,4626.0
35,5130.0,p,157.3,158.59,19798.0,2909.0
35,5260.0,c,11.35,11.44,12442.0,2958.0
35,5260.0,p,262.36,264.58,6247.0,123.0
35,5385.0,c,3.01,3.03,8654.0,2416.0
35,5385.0,p,378.07,381.41,9608.0,3915.0
35,5510.0,c,0.72,0.73,5879.0,2438.0
35,5510.0,p,499.78,504.39,13586.0,2458.0
35,5635.0,c,0.12,0.12,3639.0,2862.0
35,5635.0,p,623.11,629.13,11073.0,2372.0
35,5760.0,c,0.02,0.02,19098.0,1664.0
35,5760.0,p,746.87,754.45,11127.0,2608.0
35,5885.0,p,870.65,879.92,6048.0,117.0
35,6010.0,p,994.36,1005.48,693.0,4481.0
35,6135.0,p,1118.01,1131.12,6392.0,2774.0
35,6260.0,p,1241.57,1256.84,13486.0,3364.0
35,5007.196955473757,c,0.0,5.0,0.0,0.0
49,3760.0,c,1236.24,1253.86,14740.0,3637.0
49,3885.0,c,1113.2,1127.91,6753.0,547.0
49,4010.0,c,989.98,1002.14,19515.0,1158.0
49,4135.0,c,866.61,876.52,3254.0,2778.0
49,4260.0,c,743.15,751.08,6544.0,4150.0
49,4260.0,p,0.05,0.05,9470.0,4043.0
49,4385.0,c,619.74,625.94,4453.0,4764.0
49,4385.0,p,0.27,0.28,12879.0,1461.0
49,4510.0,c,497.25,501.93,18157.0,1287.0
49,4510.0,p,1.52,1.53,19831.0,4680.0
49,4635.0,c,378.1,381.47,10896.0,234.0
49,4635.0,p,6.19,6.24,6326.0,2181.0
49,4760.0,c,266.44,268.7,3455.0,4459.0
49,4760.0,p,18.42,18.57,2273.0,3745.0
49,4885.0,c,171.49,172.89,4856.0,4468.0
49,4885.0,p,47.42,47.81,2761.0,2599.0
49,5010.0,c,98.88,99.67,931.0,3862.0
49,5010.0,p,98.8,99.6,7043.0,3311.0
49,5135.0,c,49.65,50.06,17782.0,481.0
49,5135.0,p,173.57,174.99,14864.0,3736.0
49,5260.0,c,21.2,21.37,603.0,4684.0
49,5260.0,p,269.06,271.34,18980.0,1212.0
49,5385.0,c,8.22,8.3,1819.0,4157.0
49,5385.0,p,380.0,383.35,17892.0,774.0
49,5510.0,c,2.41,2.44,7660.0,3000.0
49,5510.0,p,498.04,502.63,14538.0,4374.0
49,5635.0,c,0.72,0.73,5969.0,1558.0
49,5635.0,p,620.14,626.13,19961.0,3889.0
49,5760.0,c,0.15,0.15,10236.0,2508.0
49,5760.0,p,743.29,750.82,8957.0,728.0
49,5885.0,c,0.03,0.03,3898.0,1155.0
49,5885.0,p,866.82,876.05,5946.0,667.0
49,6010.0,p,990.38,1001.44,19401.0,617.0
49,6135.0,p,1113.88,1126.93,18586.0,3474.0
49,6265.0,p,1242.24,1257.52,8632.0,1006.0
49,5010.078637414138,c,0.0,5.0,0.0,0.0
70,3760.0,c,1238.37,1256.05,989.0,3579.0
70,3885.0,c,1115.54,1130.31,16606.0,663.0
70,4010.0,c,992.55,1004.76,19475.0,1511.0
70,4135.0,c,869.45,879.41,10413.0,3317.0
70,4135.0,p,0.07,0.07,6617.0,4778.0
70,4260.0,c,746.41,754.39,19225.0,4624.0
70,4260.0,p,0.32,0.33,10233.0,134.0
70,4390.0,c,619.19,625.38,3390.0,3173.0
70,4390.0,p,1.46,1.47,16895.0,538.0
70,4515.0,c,499.07,503.76,15102.0,2101.0
70,4515.0,p,4.86,4.9,626.0,4831.0
70,4640.0,c,384.85,388.27,4038.0,4665.0
70,4640.0,p,14.24,14.37,14897.0,4023.0
70,4765.0,c,278.2,280.56,12868.0,3925.0
70,4765.0,p,31.27,31.54,17016.0,99.0
70,4890.0,c,189.96,191.51,6114.0,4148.0
70,4890.0,p,66.77,67.32,5385.0,3986.0
70,5015.0,c,116.2,117.14,7017.0,2658.0
70,5015.0,p,116.79,117.73,15420.0,3034.0
70,5140.0,c,66.97,67.52,2818.0,1877.0
70,5140.0,p,191.34,192.91,18566.0,2135.0
70,5265.0,c,34.88,35.17,19270.0,4338.0
70,5265.0,p,282.99,285.38,5844.0,2274.0
70,5390.0,c,17.29,17.44,5739.0,1190.0
70,5390.0,p,389.09,392.52,19894.0,3732.0
70,5515.0,c,7.38,7.45,19203.0,535.0
70,5515.0,p,502.83,507.46,17691.0,342.0
70,5640.0,c,2.59,2.62,7478.0,739.0
70,5640.0,p,621.61,627.61,4249.0,4125.0
70,5765.0,c,0.85,0.86,18505.0,727.0
70,5765.0,p,743.38,750.91,18347.0,4605.0
70,5890.0,c,0.29,0.29,3539.0,1430.0
70,5890.0,p,866.26,875.47,11759.0,776.0
70,6015.0,c,0.07,0.07,11035.0,115.0
70,6015.0,p,989.4,1000.45,14326.0,286.0
70,6145.0,c,0.02,0.02,16704.0,276.0
70,6145.0,p,1117.57,1130.69,8870.0,2959.0
70,6270.0,p,1240.77,1256.03,16160.0,1974.0
70,5014.404270181132,c,0.0,5.0,0.0,0.0
91,3765.0,c,1235.58,1253.21,19696.0,2527.0
91,3890.0,c,1112.97,1127.7,15956.0,4257.0
91,3890.0,p,0.01,0.01,10962.0,226.0
91,4015.0,c,990.24,1002.41,4947.0,1254.0
91,4015.0,p,0.07,0.07,13030.0,2860.0
91,4140.0,c,867.55,877.47,6004.0,255.0
91,4140.0,p,0.32,0.33,637.0,1874.0
91,4265.0,c,745.3,753.26,17924.0,517.0
91,4265.0,p,1.16,1.17,2319.0,4168.0
91,4390.0,c,624.5,630.75,8379.0,4624.0
91,4390.0,p,3.56,3.59,13942.0,504.0
91,4515.0,c,507.24,512.02,16113.0,4514.0
91,4515.0,p,9.61,9.7,5177.0,4898.0
91,4640.0,c,395.58,399.11,11797.0,3899.0
